Sex,EE,H2Omg,RQ,Animal_ID,Deg_C,weight,experiment,StartTime,SD_VCO2,SD_VO2,SD_H2Omg,VO2,VCO2,StartDate,FQ,block,hour
F,0.045618477155999995,2.820899,1.1260293539831703,1015,31.88805,21.87,Low Fat,08:45:28,0.00927,0.0152,0.2740099,0.1465968,0.1650723,2020-08-20,0.92266,cages13aug,8
F,0.04118936808,3.201052,1.3242306844310057,1015,33.24717,21.87,Low Fat,09:09:28,0.00728,0.0166,0.0751,0.126996,0.168172,2020-08-20,0.92266,cages13aug,9
F,0.04977024015599999,3.319559,0.9163482156189339,1015,32.95427,21.87,Low Fat,09:41:28,0.00714,0.0154,0.0793,0.167425,0.1534196,2020-08-20,0.92266,cages13aug,9
F,0.04095573699,3.115892,1.0779010315263384,1015,33.07843,21.87,Low Fat,10:11:29,0.00716,0.0206,0.0266211,0.1329777,0.1433368,2020-08-20,0.92266,cages13aug,10
F,0.032317497996,3.029768,1.467728305785124,1015,33.02175,21.87,Low Fat,10:19:29,0.00982,0.00709,0.0417,0.0968,0.1420761,2020-08-20,0.92266,cages13aug,10
F,0.04290306447,2.864946,1.14479784971137,1015,32.95174,21.87,Low Fat,10:55:29,0.00874,0.0128,0.0998,0.1373211,0.1572049,2020-08-20,0.92266,cages13aug,10
F,0.041955208217999994,2.70923,1.1067926526867684,1015,33.02117,21.87,Low Fat,11:11:29,0.00788,0.0295,0.077922,0.1353801,0.1498377,2020-08-20,0.92266,cages13aug,11
F,0.072835751142,1.561258,0.9886035207158382,1015,32.98299,21.87,Low Fat,11:51:29,0.0109,0.0243,0.022621,0.2411271,0.2383791,2020-08-20,0.92266,cages13aug,11
F,0.034075347767999996,1.545645,1.0818313727334898,1015,32.72522,21.87,Low Fat,12:15:29,0.0096,0.015,0.0771,0.1105444,0.1195904,2020-08-20,0.92266,cages13aug,12
F,0.042290080391999996,2.214213,0.9335392349041972,1015,32.78817,21.87,Low Fat,12:39:29,0.00838,0.0163,0.0302105,0.1417182,0.1322995,2020-08-20,0.92266,cages13aug,12
F,0.059196932045999996,2.116382,0.9289833257711535,1015,32.9137,21.87,Low Fat,13:11:29,0.014,0.0272417,0.047,0.1985759,0.1844737,2020-08-20,0.92266,cages13aug,13
F,0.04942058225999999,2.084874,0.995223177505108,1015,33.03752,21.87,Low Fat,13:41:30,0.00847,0.00974,0.0413,0.1633722,0.1625918,2020-08-20,0.92266,cages13aug,13
F,0.053826040506,2.029234,0.7726191220752368,1015,32.99137,21.87,Low Fat,13:49:30,0.00886,0.0152,0.0431,0.1870707,0.1445344,2020-08-20,0.92266,cages13aug,13
F,0.058321702697999994,1.918907,0.8572221839400169,1015,32.98165,21.87,Low Fat,14:25:30,0.00796,0.0136,0.0296,0.1988159,0.1704294,2020-08-20,0.92266,cages13aug,14
F,0.04943920720199999,1.986467,0.9024797410984613,1015,33.05935,21.87,Low Fat,14:41:30,0.00911,0.0188,0.062,0.1668279,0.1505588,2020-08-20,0.92266,cages13aug,14
F,0.037643848284,1.781022,1.0956505813132191,1015,32.99362,21.87,Low Fat,15:21:30,0.00921,0.0146,0.0763,0.1217588,0.1334051,2020-08-20,0.92266,cages13aug,15
F,0.01808121,1.667485,1.7897838899803535,1015,32.97827,21.87,Low Fat,15:45:30,0.0198,0.0149,0.0434,0.0509,0.0911,2020-08-20,0.92266,cages13aug,15
F,0.032305211651999996,1.591643,1.3690040526849039,1015,33.04087,21.87,Low Fat,16:09:30,0.01,0.0137,0.0274,0.0987,0.1351207,2020-08-20,0.92266,cages13aug,16
F,0.053230797732,1.815654,0.9923760973842245,1015,32.96384,21.87,Low Fat,16:41:30,0.0111,0.0165,0.0915,0.1760778,0.1747354,2020-08-20,0.92266,cages13aug,16
F,0.044979810329999995,1.728422,1.1252741795020602,1015,33.00043,21.87,Low Fat,17:11:31,0.00795,0.00814,0.0227,0.1445677,0.1626783,2020-08-20,0.92266,cages13aug,17
F,0.059325351414,1.696528,1.0505524529696315,1015,32.96135,21.87,Low Fat,17:19:31,0.0114,0.0125,0.0601,0.1937631,0.2035583,2020-08-20,0.92266,cages13aug,17
F,0.058791113513999994,1.625637,0.9610802004948537,1015,33.034,21.87,Low Fat,17:55:31,0.0397,0.029,0.0667,0.1958155,0.1881944,2020-08-20,0.92266,cages13aug,17
F,0.045502111367999996,1.574232,1.0145275475950766,1015,32.99662,21.87,Low Fat,18:11:31,0.00818,0.0189,0.0214,0.1497844,0.1519604,2020-08-20,0.92266,cages13aug,18
F,0.048502375067999995,1.594555,0.9699591392194028,1015,32.97004,21.87,Low Fat,18:51:31,0.00926,0.0219,0.025,0.1612304,0.1563869,2020-08-20,0.92266,cages13aug,18
